// From http://www.e-sudoku.fr/sudoku16x16.php
n=16;
instance = [		
  [ 11, 15,  6,  4,  	0,  3,  8,  0,	 	12,  7,  1,  0,		  0,  0,  0,  0],
  [ 16, 12,  0,  0,  	2,  9,  4,  0,		15,  0,  0,  0,		  0,  13,  1, 6],
  [  0,  0,  1,  2,  	0,  0, 14,  6,		 0,  0,  0, 10,		  0,   4, 12, 0],
  [  0, 14,  0,  0,  	1,  0,  0,  0,		 6,  0,  0,  9,		  0,   8,  0, 0],
			
  [  0,  4, 11,  1,  	9,  0,  3,  0,	 	 5, 13,  0,  6,		  0,  0,  0,  0],
  [  6,  0, 12,  0,     15, 14, 10,  0,	 	 9, 11,  0,  0,		  0,  2,  5,  8],
  [ 13,  0,  8,  0,     11,  7,  2,  0,	 	 0,  0,  0,  3,		  6,  0,  0,  0],
  [ 15,  9,  7, 14,     13,  0,  0,  5,	 	 4,  2, 10,  0,		  0,  0,  3, 16],
			
  [  4, 11,  9,  8,     16,  0,  0, 13,	 	10, 12,  5,  0,		  0,  0,  6,  1],
  [  1,  0, 14,  0,  	 8, 11,  5,  0,	 	 0,  0,  0,  2,		  4,  0,  0,  0],
  [ 12,  0, 13,  0,  	10,  4,  9,  0,	 	 1,  6,  0,  0,		  0,  7,  8, 11],
  [  0,  2,  3,  7,  	6,   0, 12,  0,	 	 8, 14,  0,  4,		  0,  0,  0,  0],
			
  [  0,  1,  0,  0,     12,  0,  0,  0,	 	13,  0,  0, 11,		  0, 15,  0,  0],
  [  0,  0,  2, 11,      0,  0, 16,  7,	 	 0,  0,  0, 12,		  0,  5, 13,  0],
  [  5, 13,  0,  0,     14,  8, 11,  0,	 	 2,  0,  0,  0,		  0,  3,  4, 12],
  [  8,  7, 15, 12,      0, 10, 13,  0,	 	14,  1,  4,  0,		  0,   0,  0,  0]
];
 
 
